Indicator.Name,Indicator.Code
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL
Adults (ages 15+) newly infected with HIV,SH.HIV.INCD
Age dependency ratio (% of working-age population),SP.POP.DPND
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS
Agricultural land (% of land area),AG.LND.AGRI.ZS
Agricultural land (sq. km),AG.LND.AGRI.K2
"Agricultural machinery, tractors",AG.AGR.TRAC.NO
"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS
Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE
Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG
"Agriculture, forestry, and fishing, value added (constant 2010 US$)",NV.AGR.TOTL.KD
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN
"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN
"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD
"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)",NV.AGR.EMPL.KD
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1
"Air transport, passengers carried",IS.AIR.PSGR
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT
Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS
"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS
Aquaculture production (metric tons),ER.FSH.AQUA.MT
Arable land (% of land area),AG.LND.ARBL.ZS
Arable land (hectares per person),AG.LND.ARBL.HA.PC
Arable land (hectares),AG.LND.ARBL.HA
ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS
"Armed forces personnel, total",MS.MIL.TOTL.P1
Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5
Average grace period on new external debt commitments (years),DT.GPA.DPPG
"Average grace period on new external debt commitments, official (years)",DT.GPA.OFFT
"Average grace period on new external debt commitments, private (years)",DT.GPA.PRVT
Average grant element on new external debt commitments (%),DT.GRE.DPPG
"Average grant element on new external debt commitments, official (%)",DT.GRE.OFFT
"Average grant element on new external debt commitments, private (%)",DT.GRE.PRVT
Average interest on new external debt commitments (%),DT.INR.DPPG
"Average interest on new external debt commitments, official (%)",DT.INR.OFFT
"Average interest on new external debt commitments, private (%)",DT.INR.PRVT
Average maturity on new external debt commitments (years),DT.MAT.DPPG
"Average maturity on new external debt commitments, official (years)",DT.MAT.OFFT
"Average maturity on new external debt commitments, private (years)",DT.MAT.PRVT
Average precipitation in depth (mm per year),AG.LND.PRCP.MM
Average time to clear exports through customs (days),IC.CUS.DURS.EX
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS
Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS
"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM
"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM
"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM
"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS
Battle-related deaths (number of people),VC.BTL.DETH
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),per_allsp.ben_q1_tot
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS
"Bird species, threatened",EN.BIR.THRD.NO
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS
Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS
Broad money (current LCU),FM.LBL.BMNY.CN
Broad money growth (annual %),FM.LBL.BMNY.ZG
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS
"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ
Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ
Capture fisheries production (metric tons),ER.FSH.CAPT.MT
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN
Cereal production (metric tons),AG.PRD.CREL.MT
Cereal yield (kg per hectare),AG.YLD.CREL.KG
Changes in inventories (constant LCU),NE.GDI.STKB.KN
Changes in inventories (current LCU),NE.GDI.STKB.CN
Changes in inventories (current US$),NE.GDI.STKB.CD
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD
Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN
Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS
"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS
"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS
Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS
Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS
"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS
"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS
Children (0-14) living with HIV,SH.HIV.0014
Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14
"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS
"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS
"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS
"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS
"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",SL.FAM.0714.FE.ZS
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",SL.FAM.0714.MA.ZS
"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",SL.WAG.0714.FE.ZS
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",SL.WAG.0714.MA.ZS
"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS
"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS
"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS
Children out of school (% of primary school age),SE.PRM.UNER.ZS
"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS
"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS
"Children out of school, primary",SE.PRM.UNER
"Children out of school, primary, female",SE.PRM.UNER.FE
"Children out of school, primary, male",SE.PRM.UNER.MA
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3
"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS
Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3
Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3
CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD
CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD
CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD
CO2 emissions (kt),EN.ATM.CO2E.KT
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS
CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT
CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS
CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS
CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT
CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS
CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS
"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD
Commercial service exports (current US$),TX.VAL.SERV.CD.WT
Commercial service imports (current US$),TM.VAL.SERV.CD.WT
"Commitments, IBRD (COM, current US$)",DT.COM.MIBR.CD
"Commitments, IDA (COM, current US$)",DT.COM.MIDA.CD
"Commitments, official creditors (COM, current US$)",DT.COM.OFFT.CD
"Commitments, private creditors (COM, current US$)",DT.COM.PRVT.CD
"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3
Compensation of employees (% of expense),GC.XPN.COMP.ZS
Compensation of employees (current LCU),GC.XPN.COMP.CN
Completeness of birth registration (%),SP.REG.BRTH.ZS
"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS
"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS
"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS
Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths),SP.DTH.INFR.ZS
Completeness of total death reporting (% of reported total deaths to estimated total deaths),SP.DTH.REPT.ZS
"Compulsory education, duration (years)",SE.COM.DURS
"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT
Concessional debt (% of total external debt),DT.DOD.ALLC.ZS
"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS
"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS
Consumer price index (2010 = 100),FP.CPI.TOTL
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU
"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS
"Contraceptive prevalence, modern methods (% of women ages 15-49)",SP.DYN.CONM.ZS
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS
"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD
"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD
"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD
"Cost to import, documentary compliance (US$)",IC.IMP.CSDC.CD
Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot
Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot
Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot
Coverage of social insurance programs in 4th quintile (% of population),per_si_allsi.cov_q4_tot
Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot
Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot
Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot
Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot
Coverage of social safety net programs in 2nd quintile (% of population),per_sa_allsa.cov_q2_tot
Coverage of social safety net programs in 3rd quintile (% of population),per_sa_allsa.cov_q3_tot
Coverage of social safety net programs in 4th quintile (% of population),per_sa_allsa.cov_q4_tot
Coverage of social safety net programs in poorest quintile (% of population),per_sa_allsa.cov_q1_tot
Coverage of social safety net programs in richest quintile (% of population),per_sa_allsa.cov_q5_tot
Coverage of unemployment benefits and ALMP (% of population),per_lm_alllm.cov_pop_tot
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),per_lm_alllm.cov_q2_tot
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),per_lm_alllm.cov_q3_tot
Coverage of unemployment benefits and ALMP in 4th quintile (% of population),per_lm_alllm.cov_q4_tot
Coverage of unemployment benefits and ALMP in poorest quintile (% of population),per_lm_alllm.cov_q1_tot
Coverage of unemployment benefits and ALMP in richest quintile (% of population),per_lm_alllm.cov_q5_tot
CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ
CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ
CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ
CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ
CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ
CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ
CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ
CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ
CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ
CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ
CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ
CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ
CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ
CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ
CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ
CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ
Crop production index (2004-2006 = 100),AG.PRD.CROP.XD
"Currency composition of PPG debt, all other currencies (%)",DT.CUR.OTHC.ZS
"Currency composition of PPG debt, Deutsche mark (%)",DT.CUR.DMAK.ZS
"Currency composition of PPG debt, Euro (%)",DT.CUR.EURO.ZS
"Currency composition of PPG debt, French franc (%)",DT.CUR.FFRC.ZS
"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS
"Currency composition of PPG debt, Multiple currencies (%)",DT.CUR.MULC.ZS
"Currency composition of PPG debt, Pound sterling (%)",DT.CUR.UKPS.ZS
"Currency composition of PPG debt, SDR (%)",DT.CUR.SDRW.ZS
"Currency composition of PPG debt, Swiss franc (%)",DT.CUR.SWFR.ZS
"Currency composition of PPG debt, U.S. dollars (%)",DT.CUR.USDL.ZS
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD
"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS
"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS
Customs and other import duties (current LCU),GC.TAX.IMPT.CN
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN
Debt buyback (current US$),DT.DSB.DPPG.CD
Debt forgiveness grants (current US$),DT.DOD.MDRI.CD
Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS
"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD
"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",DT.TDS.DPNG.CD
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD
"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD
Debt stock reduction (current US$),DT.DSF.DPPG.CD
Debt stock rescheduled (current US$),DT.DXR.DPPG.CD
DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS
Delay in obtaining an electrical connection (days),IC.ELC.DURS
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS
Deposit interest rate (%),FR.INR.DPST
"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS
Diarrhea treatment (% of children under 5 who received ORS packet),SH.STA.ORTH
Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ
"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD
"Disbursements on external debt, long-term + IMF (DIS, current US$)",DT.DIS.DLTF.CD
"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD
"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD
Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN
Distance to frontier score (0=lowest performance to 100=frontier),IC.BUS.DFRN.XQ
Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD
Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS
Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD
